EV Logger Parsed Log
Generated: Tue Mar  4 18:47:07 2014
Frequency: 1kHz
ADC0, ADC1, ADC2, ADC3, ADC4, ADC5, ADC6, ACCELX, ACCELY, ACCELZ
760, 1526, 1983, 2110, 2160, 2267, 0, 7, 255, 67
765, 1585, 1851, 2023, 2223, 2183, 0, 5, 255, 67
765, 1585, 1851, 2023, 2223, 2183, 0, 5, 255, 67
761, 1586, 1826, 1917, 2223, 2163, 0, 6, 255, 65
761, 1586, 1826, 1917, 2223, 2163, 0, 6, 255, 65
751, 1563, 1743, 1999, 2186, 2049, 0, 6, 255, 65
751, 1563, 1743, 1999, 2186, 2049, 0, 7, 0, 65
749, 1551, 1686, 1805, 1866, 2044, 0, 7, 0, 65
749, 1551, 1686, 1805, 1866, 2044, 0, 6, 0, 67
749, 1549, 1660, 2014, 2133, 2198, 0, 6, 0, 67
749, 1549, 1660, 2014, 2133, 2198, 0, 6, 0, 67
757, 1574, 1759, 2067, 2006, 2171, 0, 6, 0, 66
757, 1574, 1759, 2067, 2006, 2171, 0, 6, 0, 66
759, 1586, 1812, 1871, 2063, 2004, 0, 7, 0, 66
759, 1586, 1812, 1871, 2063, 2004, 0, 7, 0, 66
767, 1610, 1901, 2129, 2196, 2036, 0, 7, 0, 66
767, 1610, 1901, 2129, 2196, 2036, 0, 8, 0, 67
770, 1279, 1902, 2178, 2011, 2160, 0, 8, 0, 67
770, 1279, 1902, 2178, 2011, 2160, 0, 7, 1, 67
761, 1534, 2005, 2172, 2296, 2372, 0, 7, 1, 67
761, 1534, 2005, 2172, 2296, 2372, 0, 7, 1, 67
766, 1587, 1869, 2096, 2128, 2241, 0, 6, 1, 67
766, 1587, 1869, 2096, 2128, 2241, 0, 6, 1, 67
762, 1588, 1830, 1939, 1942, 1976, 0, 5, 255, 67
762, 1588, 1830, 1939, 1942, 1976, 0, 5, 255, 67
751, 1563, 1739, 1976, 2015, 2156, 0, 5, 255, 67
751, 1563, 1739, 1976, 2015, 2156, 0, 6, 255, 66
749, 1551, 1689, 1821, 1895, 2154, 0, 6, 255, 66
749, 1551, 1689, 1821, 1895, 2154, 0, 6, 0, 66
749, 1550, 1663, 2039, 2208, 2103, 0, 6, 0, 66
749, 1550, 1663, 2039, 2208, 2103, 0, 6, 0, 66
756, 1565, 1728, 1970, 2058, 1959, 0, 6, 0, 66
756, 1565, 1728, 1970, 2058, 1959, 0, 6, 0, 66
759, 1584, 1792, 1785, 2122, 2147, 0, 7, 255, 67
759, 1584, 1792, 1785, 2122, 2147, 0, 7, 255, 67
767, 1609, 1896, 2096, 2109, 2150, 0, 7, 255, 67
767, 1609, 1896, 2096, 2109, 2150, 0, 7, 255, 66
769, 1277, 1891, 2141, 2239, 2219, 0, 7, 255, 66
769, 1277, 1891, 2141, 2239, 2219, 0, 7, 255, 67
760, 1526, 1987, 2123, 2217, 2152, 0, 7, 255, 67
760, 1526, 1987, 2123, 2217, 2152, 0, 7, 255, 67
766, 1585, 1852, 2018, 2207, 2105, 0, 7, 255, 67
766, 1585, 1852, 2018, 2207, 2105, 0, 7, 255, 67
761, 1585, 1824, 1904, 2183, 2010, 0, 7, 0, 68
761, 1585, 1824, 1904, 2183, 2010, 0, 7, 0, 68
753, 1566, 1746, 1989, 2117, 2135, 0, 7, 0, 68
753, 1566, 1746, 1989, 2117, 2135, 0, 7, 0, 67
750, 1552, 1683, 1802, 1849, 2009, 0, 7, 0, 67
750, 1552, 1683, 1802, 1849, 2009, 0, 7, 0, 67
749, 1549, 1659, 2021, 2146, 2225, 0, 7, 0, 67
749, 1549, 1659, 2021, 2146, 2225, 0, 7, 0, 67
756, 1565, 1728, 1968, 2042, 2269, 0, 6, 0, 68
756, 1565, 1728, 1968, 2042, 2269, 0, 6, 0, 68
759, 1584, 1792, 1785, 2125, 2224, 0, 6, 1, 67
759, 1584, 1792, 1785, 2125, 2224, 0, 6, 1, 67
767, 1609, 1896, 2094, 2100, 2133, 0, 6, 1, 67
767, 1609, 1896, 2094, 2100, 2133, 0, 7, 1, 66
769, 1277, 1891, 2140, 2225, 2165, 0, 7, 1, 66
769, 1277, 1891, 2140, 2225, 2165, 0, 6, 0, 66
761, 1534, 2006, 2174, 2346, 2198, 0, 6, 0, 66
761, 1534, 2006, 2174, 2346, 2198, 0, 6, 0, 66
766, 1587, 1869, 2092, 2122, 2190, 0, 6, 255, 65
766, 1587, 1869, 2092, 2122, 2190, 0, 6, 255, 65
761, 1585, 1826, 1924, 1882, 2124, 0, 6, 255, 66
761, 1585, 1826, 1924, 1882, 2124, 0, 6, 255, 66
753, 1565, 1743, 1985, 2047, 2271, 0, 6, 255, 66
753, 1565, 1743, 1985, 2047, 2271, 0, 7, 0, 66
749, 1552, 1684, 1800, 1821, 1947, 0, 7, 0, 66
749, 1552, 1684, 1800, 1821, 1947, 0, 7, 0, 66
749, 1549, 1658, 2013, 2113, 2121, 0, 7, 0, 66
749, 1549, 1658, 2013, 2113, 2121, 0, 7, 0, 66
755, 1574, 1758, 2059, 1972, 2045, 0, 6, 255, 67
755, 1574, 1758, 2059, 1972, 2045, 0, 6, 255, 67
760, 1577, 1782, 2120, 2140, 2214, 0, 6, 0, 67
760, 1577, 1782, 2120, 2140, 2214, 0, 6, 0, 67
766, 1600, 1867, 2090, 2085, 2083, 0, 6, 0, 67
766, 1600, 1867, 2090, 2085, 2083, 0, 7, 0, 67
768, 1265, 1850, 2014, 2174, 2316, 0, 7, 0, 67
768, 1265, 1850, 2014, 2174, 2316, 0, 7, 0, 66
762, 1533, 1992, 2107, 2160, 2325, 0, 8, 0, 66
762, 1533, 1992, 2107, 2160, 2325, 0, 8, 0, 66
767, 1596, 1887, 2130, 2213, 2161, 0, 6, 0, 66
767, 1596, 1887, 2130, 2213, 2161, 0, 6, 0, 66
761, 1587, 1845, 2004, 2158, 2285, 0, 6, 255, 67
761, 1587, 1845, 2004, 2158, 2285, 0, 6, 255, 67
753, 1566, 1750, 2021, 2208, 2122, 0, 6, 255, 67
753, 1566, 1750, 2021, 2208, 2122, 0, 6, 255, 67
749, 1551, 1688, 1817, 1911, 2184, 0, 6, 255, 67
749, 1551, 1688, 1817, 1911, 2184, 0, 6, 255, 64
749, 1549, 1659, 2026, 2175, 2341, 0, 6, 255, 64
749, 1549, 1659, 2026, 2175, 2341, 0, 6, 255, 64
754, 1564, 1718, 1936, 1935, 1975, 0, 7, 255, 63
754, 1564, 1718, 1936, 1935, 1975, 0, 7, 255, 63
759, 1584, 1789, 2111, 2111, 2128, 0, 7, 255, 68
759, 1584, 1789, 2111, 2111, 2128, 0, 7, 255, 68
766, 1601, 1880, 2115, 2168, 2304, 0, 7, 255, 68
766, 1601, 1880, 2115, 2168, 2304, 0, 6, 0, 69
768, 1264, 1845, 2008, 2176, 2027, 0, 6, 0, 69
768, 1264, 1845, 2008, 2176, 2027, 0, 5, 1, 64
762, 1535, 2000, 2123, 2199, 2057, 0, 5, 1, 64
762, 1535, 2000, 2123, 2199, 2057, 0, 5, 1, 64
768, 1248, 1826, 1934, 1936, 1911, 0, 5, 1, 64
768, 1248, 1826, 1934, 1936, 1911, 0, 5, 1, 64
754, 1507, 1918, 2168, 2265, 2240, 0, 6, 254, 67
754, 1507, 1918, 2168, 2265, 2240, 0, 6, 254, 67
758, 1563, 1771, 2123, 2217, 2144, 0, 6, 254, 67
758, 1563, 1771, 2123, 2217, 2144, 0, 6, 0, 67
752, 1549, 1679, 1813, 1899, 2157, 0, 6, 0, 67
752, 1549, 1679, 1813, 1899, 2157, 0, 6, 4, 65
750, 1549, 1655, 2016, 2140, 2234, 0, 6, 4, 65
750, 1549, 1655, 2016, 2140, 2234, 0, 6, 4, 65
752, 1554, 1684, 1811, 1888, 2142, 0, 7, 1, 64
752, 1554, 1684, 1811, 1888, 2142, 0, 7, 1, 64
759, 1582, 1778, 2062, 1939, 1957, 0, 8, 255, 67
759, 1582, 1778, 2062, 1939, 1957, 0, 8, 255, 67
766, 1600, 1868, 2063, 1948, 1942, 0, 8, 255, 67
766, 1600, 1868, 2063, 1948, 1942, 0, 5, 0, 70
768, 1265, 1851, 2020, 2159, 2257, 0, 5, 0, 70
768, 1265, 1851, 2020, 2159, 2257, 0, 5, 255, 70
762, 1535, 2005, 2154, 2291, 2387, 0, 5, 255, 70
762, 1535, 2005, 2154, 2291, 2387, 0, 5, 255, 70
768, 1249, 1837, 1983, 2131, 2266, 0, 10, 254, 67
768, 1249, 1837, 1983, 2131, 2266, 0, 10, 254, 67
754, 1507, 1921, 1849, 2013, 2208, 0, 12, 255, 66
754, 1507, 1921, 1849, 2013, 2208, 0, 12, 255, 66
758, 1562, 1751, 1996, 2103, 2143, 0, 12, 255, 66
758, 1562, 1751, 1996, 2103, 2143, 0, 12, 255, 68
752, 1550, 1684, 1798, 1824, 1923, 0, 9, 255, 68
752, 1550, 1684, 1798, 1824, 1923, 0, 2, 1, 68
750, 1549, 1658, 2012, 2107, 2099, 0, 2, 1, 68
750, 1549, 1658, 2012, 2107, 2099, 0, 2, 1, 68
753, 1562, 1714, 1921, 1875, 2088, 0, 2, 4, 69
753, 1562, 1714, 1921, 1875, 2088, 0, 2, 4, 69
760, 1576, 1761, 2039, 2207, 2100, 0, 5, 3, 69
760, 1576, 1761, 2039, 2207, 2100, 0, 5, 3, 69
